,Survived
331,no
733,no
382,no
704,no
813,no
118,no
536,no
361,no
29,no
55,yes
865,yes
595,no
239,no
721,no
81,yes
259,yes
486,yes
716,yes
800,no
781,yes
542,no
326,no
534,no
535,yes
483,yes
762,yes
533,yes
713,no
390,yes
495,no
482,no
377,no
365,no
412,yes
468,no
409,no
7,no
580,yes
155,no
880,yes
425,no
101,no
199,no
424,no
298,yes
884,no
247,yes
478,no
305,yes
316,yes
2,yes
405,no
742,yes
260,no
367,yes
158,no
554,yes
829,yes
677,yes
380,yes
626,no
302,no
432,yes
522,no
404,no
843,no
355,no
464,no
753,no
212,no
449,yes
79,yes
148,no
428,no
60,no
660,yes
804,yes
588,no
765,yes
265,no
133,yes
708,yes
544,no
346,yes
821,yes
633,no
456,no
500,no
430,yes
445,yes
650,no
172,yes
450,no
314,no
332,no
801,yes
90,no
834,no
181,no
581,yes
795,no
69,no
131,no
334,yes
597,no
135,no
164,no
28,yes
783,no
193,yes
869,yes
715,no
525,no
381,yes
140,no
173,no
6,no
718,no
685,no
73,no
882,no
328,yes
453,yes
145,no
234,no
220,yes
370,yes
811,no
132,no
694,no
864,no
185,no
41,no
547,yes
108,no
603,no
56,yes
394,yes
706,yes
549,yes
24,no
351,no
429,yes
434,no
51,no
526,yes
816,no
569,yes
264,no
436,no
613,no
693,no
352,no
18,no
666,no
582,no
83,no
61,yes
272,yes
285,no
695,no
746,no
12,no
182,no
444,yes
552,no
223,no
513,yes
628,no
587,yes
692,yes
523,yes
664,yes
176,no
841,no
678,no
163,no
248,yes
570,yes
787,no
74,yes
113,no
635,yes
501,no
104,no
114,no
368,yes
92,no
497,no
89,no
336,no
879,yes
817,no
828,yes
543,yes
548,no
94,no
11,yes
431,yes
43,yes
42,no
329,yes
167,no
779,yes
537,yes
735,no
499,no
178,no
583,no
784,no
593,no
177,no
644,yes
710,yes
615,yes
383,yes
257,yes
734,no
335,no
551,no
15,yes
3,yes
411,no
256,yes
451,no
473,yes
697,yes
393,yes
222,no
506,yes
567,no
420,no
324,no
530,yes
9,yes
249,no
22,yes
356,yes
221,no
601,no
766,no
874,yes
528,no
340,yes
743,no
519,no
203,no
