Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Cabin_Missing_Indicator,z_score_age,z_score_fare
first,male,45.5,0,0,28.5,C124,S,False,1.2313975398507173,-0.07862830728907992
second,male,23.0,0,0,13.0,Missing,S,True,-0.5001303807623865,-0.376879998099532
third,male,32.0,0,0,7.925,Missing,S,True,0.19248078748285508,-0.47453337428424447
third,male,26.0,1,0,7.8542,Missing,S,True,-0.26925999134730594,-0.4758957110396884
third,female,6.0,4,2,31.275,Missing,S,True,-1.808395920781176,-0.025231633611724816
first,male,24.0,0,1,64.3625,B58 B60,C,False,-0.42317358429069296,4.135779687721105
first,male,45.0,0,0,26.55,B38,S,False,1.1929191416148706,-0.11615029419749161
second,male,29.0,1,0,27.7208,Missing,C,True,-0.03838960193222544,-0.09362170841678985
third,male,29.498846153846156,0,0,7.8958,Missing,S,True,2.734054635016516e-16,-0.47509524198564224
first,male,29.498846153846156,0,0,35.5,C52,S,False,2.734054635016516e-16,0.05606600468983392
second,female,42.0,0,0,13.0,Missing,S,True,0.96204875219979,-0.376879998099532
third,male,36.0,1,1,24.15,Missing,S,True,0.5003079733696291,-0.16233120116169067
second,male,33.0,0,0,12.275,Missing,S,True,0.2694375839545486,-0.3908304804116338
third,male,17.0,1,0,7.0542,Missing,S,True,-0.9618711595925474,-0.49128934669442137
third,male,29.0,0,0,9.5,Missing,S,True,-0.03838960193222544,-0.4442271540889889
second,female,50.0,0,1,26.0,Missing,S,True,1.5777031239733381,-0.12673341871012056
first,female,35.0,1,0,64.3625,C93,S,False,0.42335117689793555,1.1047574336685202
first,female,38.0,0,0,64.3625,C45,C,False,0.6542215663130161,3.7510196129399667
second,male,34.0,0,0,13.0,Missing,S,True,0.34639438042624204,-0.376879998099532
first,female,17.0,1,0,57.0,B20,S,False,-0.9618711595925474,0.46976996291078355
third,female,11.0,4,2,31.275,Missing,S,True,-1.4236119384227084,-0.025231633611724816
third,male,61.0,0,0,6.2375,Missing,S,True,2.4242278851619665,-0.5070043244934469
third,female,30.0,0,0,8.6625,Missing,S,True,0.038567194539468067,-0.4603423664150375
second,female,7.0,0,2,26.25,Missing,S,True,-1.7314391243094824,-0.1219229075680165
third,female,63.0,0,0,9.5875,Missing,S,True,2.5781414781053535,-0.4425434751892525
third,male,20.0,0,0,7.2292,Missing,C,True,-0.7310007701774669,-0.4879219888949486
third,female,29.498846153846156,0,2,22.3583,Missing,C,True,2.734054635016516e-16,-0.19680717241492207
third,male,29.0,0,0,9.4833,Missing,S,True,-0.03838960193222544,-0.44454849623328146
first,male,36.0,1,2,64.3625,B96 B98,S,False,0.5003079733696291,1.6820187707210081
third,male,29.498846153846156,0,0,14.4583,Missing,C,True,2.734054635016516e-16,-0.34881932450541053
third,male,50.0,0,0,8.05,Missing,S,True,1.5777031239733381,-0.47212811871319244
first,male,27.0,0,2,64.3625,C82,C,False,-0.19230319487561243,3.4426658487310964
third,male,30.0,0,0,7.25,Missing,S,True,0.038567194539468067,-0.4875217543679255
first,female,33.0,1,0,64.3625,C78,Q,False,0.2694375839545486,1.1047574336685202
third,male,29.498846153846156,0,0,7.725,Missing,Q,True,2.734054635016516e-16,-0.47838178319792773
third,female,29.498846153846156,3,1,25.4667,Missing,S,True,2.734054635016516e-16,-0.13699520107845697
third,male,2.0,3,1,21.075,Missing,S,True,-2.1162231066679498,-0.22150048820957066
second,female,25.0,1,1,30.0,Missing,S,True,-0.34621678781899945,-0.04976524043645552
first,male,51.0,0,1,61.3792,Missing,C,True,1.6546599204450316,0.554034724484792
second,female,25.0,0,1,26.0,Missing,S,True,-0.34621678781899945,-0.12673341871012056
third,male,29.498846153846156,0,0,7.25,Missing,S,True,2.734054635016516e-16,-0.4875217543679255
